namespace,term_local_name,label,definition,usage,notes,examples,rdf_type,class_uri,is_required,is_repeatable,term_created,term_modified,class_name,compound_name,namespace_iri,term_iri,term_ns_name,term_version_iri,datatype,label_fr,definition_fr,usage_fr,notes_fr
ltc:,Address,Address,A physical address for an organisational unit or person.,,,,http://www.w3.org/2000/01/rdf-schema#Class,http://rs.tdwg.org/dwc/terms/attributes/Address,False,True,2024-02-28,2024-02-28,Address,Address.Address,http://rs.tdwg.org/ltc/terms/,http://rs.tdwg.org/ltc/terms/Address,ltc:Address,http://rs.tdwg.org/ltc/terms/Address-2024-02-28,,Adresse,Adresse physique d'une entité organisationnelle ou d'une personne.,,
ltc:,ChronometricAge,Chronometric Age,The age of a specimen or related materials that is generated from a dating assay.,,"To represent a single age, enter the same value in both earliestChronometricAge and latestChronometricAge. Leaving one or both of these fields blank indicates that the value is unknown, has yet to be recorded or is not applicable to the material being described. We recommend that you do not use this class to indicate chronostratigraphy: it is intended to be used to reflect a chronometric age or range of ages determined via one or more named analytical protocols, methods or techniques.",,http://www.w3.org/2000/01/rdf-schema#Class,http://rs.tdwg.org/dwc/terms/attributes/ChronometricAge,False,True,2024-02-28,2024-02-28,ChronometricAge,ChronometricAge.ChronometricAge,http://rs.tdwg.org/ltc/terms/,http://rs.tdwg.org/ltc/terms/ChronometricAge,ltc:ChronometricAge,http://rs.tdwg.org/ltc/terms/ChronometricAge-2024-02-28,,Âge Chronométrique,L'âge d'un spécimen ou d'un matériel associé généré à partir d'un test de datation.,,"Pour indiquer un âge unique, saisir la même valeur dans les champs earliestChronometricAge et latestChronometricAge. Le fait de laisser un ou deux de ces champs vides indique que la valeur est inconnue, qu'elle n'a pas encore été enregistrée ou qu'elle ne s'applique pas au matériel décrit. Nous vous recommandons de ne pas utiliser cette classe pour indiquer la chronostratigraphie : elle est destinée à refléter un âge chronométrique ou une fourchette d'âges déterminés au moyen d'un ou de plusieurs protocoles, méthodes ou techniques analytiques spécifiés."
ltc:,CollectionStatusHistory,Collection Status History,A record of current and past statuses of the object group and the reason for status changes.,,"Use this class to record the history of and reason for changes in the status of the described collection. Types of status described by this class may, for example, include ownership, management, accessibility or accrual policy over time. Dates reflecting the start and end of the status described by this class should be recorded using an instance of TemporalCoverage. If temporalCoverageEndDateTime is empty, the status should be inferred to be the current status of the collection.",,http://www.w3.org/2000/01/rdf-schema#Class,http://rs.tdwg.org/dwc/terms/attributes/CollectionStatusHistory,False,True,2024-02-28,2024-02-28,CollectionStatusHistory,CollectionStatusHistory.CollectionStatusHistory,http://rs.tdwg.org/ltc/terms/,http://rs.tdwg.org/ltc/terms/CollectionStatusHistory,ltc:CollectionStatusHistory,http://rs.tdwg.org/ltc/terms/CollectionStatusHistory-2024-02-28,,Historique des statuts d'une collection,Un historique des statuts actuels et passés du groupe d'objets et la raison des modifications de statut.,,"Utiliser cette classe pour documenter l'historique et les raisons des changements de statut de la collection décrite. Les types de statut décrits par cette classe peuvent, par exemple, inclure la propriété, la gestion, l'accessibilité ou la politique d'accumulation au fil du temps. Les dates reflétant le début et la fin de l'état décrit par cette classe doivent être enregistrées à l'aide d'une instance de TemporalCoverage. Si temporalCoverageEndDateTime est vide, le statut doit être considéré comme actuel pour la collection."
ltc:,ContactDetail,Contact Detail,Details of a method by which an entity such as a Person or OrganisationalUnit may be contacted.,,"The Address class should be used to store physical or postal addresses. For all other types of contact details, this class should be used.",,http://www.w3.org/2000/01/rdf-schema#Class,http://rs.tdwg.org/dwc/terms/attributes/ContactDetail,False,True,2024-02-28,2024-02-28,ContactDetail,ContactDetail.ContactDetail,http://rs.tdwg.org/ltc/terms/,http://rs.tdwg.org/ltc/terms/ContactDetail,ltc:ContactDetail,http://rs.tdwg.org/ltc/terms/ContactDetail-2024-02-28,,Coordonnées,Détails d'une méthode par laquelle une entité telle qu'une Personne ou une Entité Organisationnelle peut être contactée.,,"La classe Adresse doit être utilisée pour stocker les adresses physiques ou postales. Pour tous les autres types de coordonnées, il convient d'utiliser cette classe."
ltc:,EcologicalContext,Ecological Context,"The ecological and/or biogeographic classification of the region from which objects associated with the ObjectGroup were collected, or where an Event took place.",,"There is some conceptual overlap with the GeographicContext class with respect to geographic locations. This class should be used for biogeographic and ecological concepts, whereas for physical, political and administrative geographic locations, the GeographicContext class is more appropriate. Specific information about the habitat and ecological conditions that applied at the time that an event took place should be recorded in the `habitat` property of the Event class.",,http://www.w3.org/2000/01/rdf-schema#Class,http://rs.tdwg.org/dwc/terms/attributes/EcologicalContext,False,True,2024-02-28,2024-02-28,EcologicalContext,EcologicalContext.EcologicalContext,http://rs.tdwg.org/ltc/terms/,http://rs.tdwg.org/ltc/terms/EcologicalContext,ltc:EcologicalContext,http://rs.tdwg.org/ltc/terms/EcologicalContext-2024-02-28,,Contexte Écologique,Classification écologique et/ou biogéographique de la région dans laquelle les objets associés à l'ObjectGroup ont été collectés ou dans laquelle un Événement a eu lieu.,,"Il existe un certain chevauchement conceptuel avec la classe GeographicContext en ce qui concerne les lieux géographiques. Cette classe doit être utilisée pour les concepts biogéographiques et écologiques, tandis que pour les emplacements géographiques physiques, politiques et administratifs, la classe GeographicContext est plus appropriée. Les informations spécifiques sur l'habitat et les conditions écologiques qui prévalaient au moment où un événement a eu lieu doivent être enregistrées dans la propriété `habitat` de la classe Event."
ltc:,Event,Event,An action that occurs at some location during some time.,,Derived from dwc Class event (http://rs.tdwg.org/dwc/terms/version/Event-2018-09-06). This class has been defined under the ltc namespace because it only has a subset of the properties of DwC:Event. All ltc:Event properties are borrowed from and reference the dwc namespace. Examples of an Event include: A specimen collection process. A camera trap image capture. A marine trawl.,,http://www.w3.org/2000/01/rdf-schema#Class,http://rs.tdwg.org/dwc/terms/attributes/Event,False,True,2024-02-28,2024-02-28,Event,Event.Event,http://rs.tdwg.org/ltc/terms/,http://rs.tdwg.org/ltc/terms/Event,ltc:Event,http://rs.tdwg.org/ltc/terms/Event-2024-02-28,,Événement,Une action qui se produit à un endroit donné pendant un temps donné.,,Dérivée de la classe DwC:Event (http://rs.tdwg.org/dwc/terms/version/Event-2018-09-06). Cette classe a été définie dans l'espace de noms ltc car elle ne possède qu'un sous-ensemble des propriétés de DwC:Event. Toutes les propriétés de ltc:Event sont empruntées à l'espace de noms dwc et y font référence. Voici quelques exemples d'événements : Un processus de collecte de spécimens. La capture d'une image par un piège photographique. Un chalut en mer.
ltc:,GeographicContext,Geographic Context,"The geographic location from which objects associated with the ObjectGroup were collected, or where an Event took place.",,,,http://www.w3.org/2000/01/rdf-schema#Class,http://rs.tdwg.org/dwc/terms/attributes/GeographicContext,False,True,2024-02-28,2024-02-28,GeographicContext,GeographicContext.GeographicContext,http://rs.tdwg.org/ltc/terms/,http://rs.tdwg.org/ltc/terms/GeographicContext,ltc:GeographicContext,http://rs.tdwg.org/ltc/terms/GeographicContext-2024-02-28,,Contexte Géographique,Lieu géographique où les objets associés à l'ObjectGroup ont été collectés ou où un Événement a eu lieu.,,
ltc:,GeologicalContext,Geological Context,"Geological information, such as stratigraphy, that qualifies a region or place.",,,,http://www.w3.org/2000/01/rdf-schema#Class,http://rs.tdwg.org/dwc/terms/attributes/GeologicalContext,False,True,2024-02-28,2024-02-28,GeologicalContext,GeologicalContext.GeologicalContext,http://rs.tdwg.org/ltc/terms/,http://rs.tdwg.org/ltc/terms/GeologicalContext,ltc:GeologicalContext,http://rs.tdwg.org/ltc/terms/GeologicalContext-2024-02-28,,Contexte Géologique,"Information géologique, telle que la stratigraphie, qui caractérise une région ou un lieu.",,
ltc:,Identifier,Identifier,"A numeric, textual value, or reference such as an IRI, that can be used to uniquely identify the object to which it is attached.",,"Use this class to document stable identifiers that describe the collections and associated entities being represented in the collection description. For example, person identifiers, taxon identifiers, institution identifiers, organisational unit identifiers, gazetteer identifiers. Identifiers represented by this class may be globally unique, or unique within a given context.",,http://www.w3.org/2000/01/rdf-schema#Class,http://rs.tdwg.org/dwc/terms/attributes/Identifier,False,True,2024-02-28,2024-02-28,Identifier,Identifier.Identifier,http://rs.tdwg.org/ltc/terms/,http://rs.tdwg.org/ltc/terms/Identifier,ltc:Identifier,http://rs.tdwg.org/ltc/terms/Identifier-2024-02-28,,Identifiant,"Une valeur numérique, textuelle ou une référence telle qu'une IRI, qui peut être utilisée pour identifier de manière univoque l'objet auquel elle est rattachée.",,"Utiliser cette classe pour documenter les identifiants stables qui décrivent les collections et les entités associées représentées dans la description de la collection. Par exemple, les identifiants de personnes, de taxons, d'institutions, d'entités organisationnelles ou d'index géographiques. Les identifiants représentés par cette classe peuvent être uniques au niveau global ou dans un contexte donné."
ltc:,LatimerCoreScheme,Latimer Core Scheme,"A grouping of multiple ObjectGroups for a particular use case, purpose or implementation.",,"Where the same objects within the same collection might be described by more than one ObjectGroup for different purposes (for examples, a 'Darwin Fossil Mammals' collection description might overlap with a 'Offsite Palaeontology' collection description), this class can be used to distinguish between them and avoid double-counting of metrics in queries against the data.",,http://www.w3.org/2000/01/rdf-schema#Class,http://rs.tdwg.org/dwc/terms/attributes/LatimerCoreScheme,True,True,2024-02-28,2024-02-28,LatimerCoreScheme,LatimerCoreScheme.LatimerCoreScheme,http://rs.tdwg.org/ltc/terms/,http://rs.tdwg.org/ltc/terms/LatimerCoreScheme,ltc:LatimerCoreScheme,http://rs.tdwg.org/ltc/terms/LatimerCoreScheme-2024-02-28,,Schéma Latimer Core,"Un regroupement de plusieurs ObjectGroups pour un cas pratique, un objectif ou une mise en œuvre spécifiques.",,"Lorsque les mêmes objets d'une même collection peuvent être décrits par plusieurs ObjectGroup à des fins différentes (par exemple, la description de la collection 'Darwin Fossil Mammals' qui peut recouper celle de la collection 'Offsite Palaeontology'), cette classe peut être utilisée pour les distinguer et éviter les doublons de mesures dans les requêtes sur les données."
