term_local_name,rdf_type
Address,http://www.w3.org/2000/01/rdf-schema#Class
ChronometricAge,http://www.w3.org/2000/01/rdf-schema#Class
CollectionStatusHistory,http://www.w3.org/2000/01/rdf-schema#Class
ContactDetail,http://www.w3.org/2000/01/rdf-schema#Class
EcologicalContext,http://www.w3.org/2000/01/rdf-schema#Class
Event,http://www.w3.org/2000/01/rdf-schema#Class
GeographicContext,http://www.w3.org/2000/01/rdf-schema#Class
GeologicalContext,http://www.w3.org/2000/01/rdf-schema#Class
Identifier,http://www.w3.org/2000/01/rdf-schema#Class
LatimerCoreScheme,http://www.w3.org/2000/01/rdf-schema#Class
MeasurementOrFact,http://www.w3.org/2000/01/rdf-schema#Class
ObjectClassification,http://www.w3.org/2000/01/rdf-schema#Class
ObjectGroup,http://www.w3.org/2000/01/rdf-schema#Class
OrganisationalUnit,http://www.w3.org/2000/01/rdf-schema#Class
Person,http://www.w3.org/2000/01/rdf-schema#Class
PersonRole,http://www.w3.org/2000/01/rdf-schema#Class
RecordLevel,http://www.w3.org/2000/01/rdf-schema#Class
Reference,http://www.w3.org/2000/01/rdf-schema#Class
ResourceRelationship,http://www.w3.org/2000/01/rdf-schema#Class
Role,http://www.w3.org/2000/01/rdf-schema#Class
SchemeMeasurementOrFact,http://www.w3.org/2000/01/rdf-schema#Class
SchemeTerm,http://www.w3.org/2000/01/rdf-schema#Class
StorageLocation,http://www.w3.org/2000/01/rdf-schema#Class
Taxon,http://www.w3.org/2000/01/rdf-schema#Class
TemporalCoverage,http://www.w3.org/2000/01/rdf-schema#Class
additionalName,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
addressCountry,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
addressLocality,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
addressRegion,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
addressType,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
alternativeCollectionName,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
baseTypeOfObjectGroup,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
