sssom_subject_id	sssom_subject_category	sssom_predicate_id	sssom_object_id	sssom_object_category	sssom_mapping_justification	sssom_author_id	sssom_author_label	sssom_creator_id	sssom_creator_label	sssom_subject_type	sssom_object_type	sssom_object_source	sssom_mapping_date	sssom_object_match_field	sssom_comment	semapv_RegexRemoval	object_source_version	object_url	subject_url	object_namespace
mids:PhysicalSpecimenID	mids:MIDS0	skos:narrowMatch	abcd2:UnitID	abcd2:Unit	semapv:HumanCuration	orcid:0000-0002-0829-5849	David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/UnitID	2024-06-24			|unknown:undigitized	http://www.tdwg.org/schemas/abcd/2.06	abcd2:UnitID	https://tdwg.github.io    /mids/information-elements#PhysicalSpecimenID	abcd
mids:PhysicalSpecimenID	mids:MIDS0	skos:narrowMatch	abcd2:UnitGUID	abcd2:Unit	semapv:HumanCuration	orcid:0000-0002-0829-5849	David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/UnitGUID	2024-06-24			|unknown:undigitized	http://www.tdwg.org/schemas/abcd/2.06	abcd2:UnitGUID	https://tdwg.github.io    /mids/information-elements#PhysicalSpecimenID	abcd
mids:Organization	mids:MIDS0	skos:narrowMatch	abcd2:SourceInstitutionID	abcd2:Unit	semapv:HumanCuration	orcid:0000-0002-0829-5849	David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/SourceInstitutionID	2024-06-24			|unknown:undigitized	http://www.tdwg.org/schemas/abcd/2.06	abcd2:SourceInstitutionID	https://tdwg.github.io    /mids/information-elements#Organization	abcd
mids:Organization	mids:MIDS0	skos:narrowMatch	abcd2:Unit-Owner-OrganisationGUID	abcd2:Unit	semapv:HumanCuration	orcid:0000-0002-0829-5849	David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Owner/Organisation/OrganisationGUID	2024-06-24			|unknown:undigitized	http://www.tdwg.org/schemas/abcd/2.06	abcd2:Unit-Owner-OrganisationGUID	https://tdwg.github.io    /mids/information-elements#Organization	abcd
mids:Organization	mids:MIDS0	skos:narrowMatch	abcd2:DataSet-Owner-OrganisationGUID	abcd2:DataSet	semapv:HumanCuration	orcid:0000-0002-0829-5849	David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Metadata/Owners/Owner/Organisation/OrganisationGUID	2024-06-24			|unknown:undigitized	http://www.tdwg.org/schemas/abcd/2.06	abcd2:DataSet-Owner-OrganisationGUID	https://tdwg.github.io    /mids/information-elements#Organization	abcd
mids:Name	mids:MIDS1	skos:narrowMatch	abcd2:TaxonIdentified-FullScientificNameString	abcd2:Unit	semapv:HumanCuration	orcid:0000-0002-0829-5849	David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Identifications/Identification/Result/TaxonIdentified/ScientificName/FullScientificNameString	2024-06-24			|unknown:undigitized	http://www.tdwg.org/schemas/abcd/2.06	abcd2:TaxonIdentified-FullScientificNameString	https://tdwg.github.io    /mids/information-elements#Name	abcd
mids:Name	mids:MIDS1	skos:narrowMatch	abcd2:TaxonIdentified-InformalNameString	abcd2:Unit	semapv:HumanCuration	orcid:0000-0002-0829-5849	David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Identifications/Identification/Result/TaxonIdentified/InformalNameString	2024-06-24			|unknown:undigitized	http://www.tdwg.org/schemas/abcd/2.06	abcd2:TaxonIdentified-InformalNameString	https://tdwg.github.io    /mids/information-elements#Name	abcd
mids:Name	mids:MIDS1	skos:narrowMatch	abcd2:TaxonIdentified-NamedIndividual	abcd2:Unit	semapv:HumanCuration	orcid:0000-0002-0829-5849	David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Identifications/Identification/Result/TaxonIdentified/ScientificName/NameAtomised/Zoological/NamedIndividual	2024-06-24			|unknown:undigitized	http://www.tdwg.org/schemas/abcd/2.06	abcd2:TaxonIdentified-NamedIndividual	https://tdwg.github.io    /mids/information-elements#Name	abcd
mids:ObjectType	mids:MIDS1	skos:exactMatch	abcd2:KindOfUnit	abcd2:Unit	semapv:HumanCuration	orcid:0000-0002-0829-5849	David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/KindOfUnit	2024-06-24			|unknown:undigitized	http://www.tdwg.org/schemas/abcd/2.06	abcd2:KindOfUnit	https://tdwg.github.io    /mids/information-elements#ObjectType	abcd
mids:License	mids:MIDS1	skos:narrowMatch	abcd2:Unit-License-Text	abcd2:Unit	semapv:HumanCuration	orcid:0000-0002-0829-5849	David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/IPRStatements/Licenses/License/Text	2024-06-26			|unknown:undigitized	http://www.tdwg.org/schemas/abcd/2.06	abcd2:Unit-License-Text	https://tdwg.github.io    /mids/information-elements#License	abcd
mids:License	mids:MIDS1	skos:narrowMatch	abcd2:Unit-License-URI	abcd2:Unit	semapv:HumanCuration	orcid:0000-0002-0829-5849	David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/IPRStatements/Licenses/License/URI	2024-06-26			|unknown:undigitized	http://www.tdwg.org/schemas/abcd/2.06	abcd2:Unit-License-URI	https://tdwg.github.io    /mids/information-elements#License	abcd
mids:License	mids:MIDS1	skos:narrowMatch	abcd2:DataSet-License-Text	abcd2:DataSet	semapv:HumanCuration	orcid:0000-0002-0829-5849	David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Metadata/IPRStatements/Licenses/License/Text	2024-06-26			|unknown:undigitized	http://www.tdwg.org/schemas/abcd/2.06	abcd2:DataSet-License-Text	https://tdwg.github.io    /mids/information-elements#License	abcd
mids:License	mids:MIDS1	skos:narrowMatch	abcd2:DataSet-License-URI	abcd2:DataSet	semapv:HumanCuration	orcid:0000-0002-0829-5849	David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Metadata/IPRStatements/Licenses/License/URI	2024-06-26			|unknown:undigitized	http://www.tdwg.org/schemas/abcd/2.06	abcd2:DataSet-License-URI	https://tdwg.github.io    /mids/information-elements#License	abcd
mids:Modified	mids:MIDS1	skos:narrowMatch	abcd2:DataSet-DateModified	abcd2:DataSet	semapv:HumanCuration	orcid:0000-0002-0829-5849	David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Metadata/RevisionData/DateModified	2024-06-24			|unknown:undigitized	http://www.tdwg.org/schemas/abcd/2.06	abcd2:DataSet-DateModified	https://tdwg.github.io    /mids/information-elements#Modified	abcd
mids:Modified	mids:MIDS1	skos:narrowMatch	abcd2:Unit-DateLastEdited	abcd2:Unit	semapv:HumanCuration	orcid:0000-0002-0829-5849	David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/DateLastEdited	2024-06-24		alternative modified date on record level	|unknown:undigitized	http://www.tdwg.org/schemas/abcd/2.06	abcd2:Unit-DateLastEdited	https://tdwg.github.io    /mids/information-elements#Modified	abcd
mids:QualitativeLocation	mids:MIDS2	skos:narrowMatch	abcd2:Gathering-LocalityText	abcd2:Unit	semapv:HumanCuration	orcid:0009-0007-3961-8923|orcid:0000-0002-0829-5849	Stefan Seifert|David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Gathering/LocalityText	2024-06-26			|unknown:undigitized	http://www.tdwg.org/schemas/abcd/2.06	abcd2:Gathering-LocalityText	https://tdwg.github.io    /mids/information-elements#QualitativeLocation	abcd
mids:QualitativeLocation	mids:MIDS2	skos:narrowMatch	abcd2:Gathering-Country	abcd2:Unit	semapv:HumanCuration	orcid:0009-0007-3961-8923|orcid:0000-0002-0829-5849	Stefan Seifert|David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Gathering/Country	2024-06-26			|unknown:undigitized	http://www.tdwg.org/schemas/abcd/2.06	abcd2:Gathering-Country	https://tdwg.github.io    /mids/information-elements#QualitativeLocation	abcd
