class_name	qualified_term	term_local_name
mids:MIDS0	mids:PhysicalSpecimenID	PhysicalSpecimenID
mids:MIDS0	mids:Organization	Organization
mids:MIDS1	mids:Name	Name
mids:MIDS1	mids:SpecimenType	SpecimenType
mids:MIDS1	mids:ObjectType	ObjectType
mids:MIDS1	mids:License	License
mids:MIDS1	mids:Modified	Modified
mids:MIDS2	mids:QualitativeLocation	QualitativeLocation
mids:MIDS2	mids:QuantitativeLocation	QuantitativeLocation
mids:MIDS2	mids:CollectingAgent	CollectingAgent
mids:MIDS2	mids:CollectionDate	CollectionDate
mids:MIDS2	mids:CollectorNumber	CollectorNumber
mids:MIDS2	mids:TypeStatus	TypeStatus
mids:MIDS2	mids:media	media
mids:MIDS3	mids:AssociatedMediaID	AssociatedMediaID
