class_name	qualified_term	term_local_name
mids:MIDS0	mids:PhysicalSpecimenID	PhysicalSpecimenID
mids:MIDS0	mids:Organization	Organization
mids:MIDS1	mids:Name	Name
mids:MIDS1	mids:ObjectType	ObjectType
mids:MIDS1	mids:License	License
mids:MIDS1	mids:Modified	Modified
mids:MIDS2	mids:QualitativeLocation	QualitativeLocation
mids:MIDS2	mids:QuantitativeLocation	QuantitativeLocation
mids:MIDS1	mids:Chronostratigraphy	Chronostratigraphy
mids:MIDS2	mids:StratigraphicContext	StratigraphicContext
mids:MIDS3	mids:GeographicalLocalityID	GeographicalLocalityID
mids:MIDS3	mids:OrganizationID	OrganizationID
mids:MIDS3	mids:IdentifiedAsID	IdentifiedAsID
mids:MIDS3	mids:IdentifiedByID	IdentifiedByID
mids:MIDS3	mids:MediaID	MediaID
mids:MIDS3	mids:CollectingAgentID	CollectingAgentID
