class_name	qualified_term	term_local_name
mids:MIDS0	mids:PhysicalSpecimenID	PhysicalSpecimenID
mids:MIDS0	mids:Organization	Organization
mids:MIDS1	mids:Name	Name
mids:MIDS1	mids:ScientificNameID	ScientificNameID
mids:MIDS1	mids:ObjectType	ObjectType
mids:MIDS1	mids:License	License
mids:MIDS1	mids:Modified	Modified
mids:MIDS2	mids:QualitativeLocation	QualitativeLocation
mids:MIDS2	mids:QuantitativeLocation	QuantitativeLocation
mids:MIDS2	mids:CollectingAgent	CollectingAgent
mids:MIDS2	mids:DateCollected	DateCollected
mids:MIDS2	mids:CollectingNumber	CollectingNumber
mids:MIDS2	mids:Media	Media
mids:MIDS3	mids:GeographicalLocalityID	GeographicalLocalityID
mids:MIDS3	mids:InstitutionID	InstitutionID
mids:MIDS3	mids:CollectorID	CollectorID
mids:MIDS3	mids:ScientificNameID	ScientificNameID
mids:MIDS3	mids:IdentifiedByID	IdentifiedByID
mids:MIDS3	mids:MediaID	MediaID
