column,qualified_term,definition
namespace,vann:preferredNamespacePrefix,The preferred namespace prefix to use when using terms from this vocabulary in an XML document.
term,term,A word or phrase used to represent a concept  that follows a specific naming convention suitable for machine use
label,rdfs:label,"The preferred lexical label for a resource, in a given language"
definition,skos:definition,A descriptive statement that supplies a complete explanation of the intended meaning of the type and serves to differentiate it from related concepts.
organized_in_class,tdwgutility:organizedInClass,Used to organize properties within classes for easier human understanding.
term_scope,tdwgutility:termScope,The semantic boundaries for which a term is valid and has meaning within the context of a class or TDWG vocabulary
examples,skos:example,Supplies an example of concept usage
usage_note,vann:usageNote,Information on how a term is to be used.
rdf_type,rdf:type,RDF Type (Class or Property)
datatype,rml:datatype,Specifies the datatype of the object component for the generated triple loosely adhering to the primitive types in XML Schema Data Types and JSON Schema
is_required,tdwgutility:isRequired,Declaration of whether or not a resource is required within the context of the vocabulary expressed as a boolean value
notes,skos:note,Statement or statements that provide further information on any part of a terminological entry
editorial_note,skos:editorialNote,"Notes for an editor, translator or maintainer of the vocabulary."
source,dcterms:source,One or more related resources from which the described resource is derived or based 
